Speaker,Utterance,File_ID
f,<ds>mmhmm</ds>,q4ec2
g,right n-- from there you want to <ds>eh</ds> go from left to right across the rope bridge and it's actually <ds>ehm</ds> if if you think of a d-- it was it's not on the rope bridge the word but the rope bridge itself you want the the the line to pass through the diagram,q4ec2
f,<ds>uh-huh</ds> <ds>right</ds>,q4ec2
g,<ds>right</ds>,q4ec2
f,<ds>okay</ds>,q4ec2
g,<ds>right</ds>,q4ec2
g,now do you have giraffes in <ds>eh</ds> below rope bridge roughly,q4ec2
f,<ds>uh-huh</ds>,q4ec2
g,<ds>right</ds>,q4ec2
g,<ds>ehm</ds> now you want to <ds>eh</ds> draw a vertical line down from the where you've just left the rope bridge but to the the right of the giraffes,q4ec2
f,do you s-- do you have crocodiles underneath the rope bridge,q4ec2
g,<ds>no</ds>,q4ec2
g,right so there's crocodiles on yours,q4ec2
g,<ds>ehm</ds> there's no crocodiles on mine,q4ec2
g,whereabouts are they <ds>eh</ds> n-- as with respect to the rope bridge,q4ec2
f,directly underneath the right-hand side of the rope bridge,q4ec2
g,<ds>right</ds> <ds>i see</ds> <ds>right</ds>,q4ec2
f,so if there's no obstruction beneath the rope bridge on the other side before you cross it do you think i could go from directly from there to the giraffes,q4ec2
g,<ds>yeah</ds> i s-- i suppose if,q4ec2
g,as long as we don't draw over the he-- the crocodiles themselves it'll be okay,q4ec2
f,<ds>no</ds> that that won't that won't affect it,q4ec2
g,<ds>right</ds> <ds>okay</ds>,q4ec2
g,so as long as you avoid them <ds>eh</ds> if you can just extend your horizontal line out to the the just from the the side of the page,q4ec2
f,from before crossing the rope bridge,q4ec2
g,<ds>well</ds> <ds>no</ds> i'm i want you to cross the rope bridge right,q4ec2
f,but then i can't actually get from the other end of the rope bridge to the giraffes,q4ec2
g,<ds>oh</ds> <ds>right</ds>,q4ec2
g,so they're so they're actually barring that way,q4ec2
f,without the crocodiles,q4ec2
f,<ds>well</ds> i imagine so,q4ec2
f,less i just drew round them which i suppose i could,q4ec2
g,<ds>eh</ds> can you dr-- actually draw round them,q4ec2
f,<ds>well</ds> <ds>yeah</ds> i suppose,q4ec2
g,<ds>well</ds> if you could draw round them then,q4ec2
f,straight down to the giraffes,q4ec2
g,<ds>yeah</ds>,q4ec2
g,just to the left <ds>eh</ds> t-- sorry to the right of the giraffes in between the the edge of the page and the giraffes,q4ec2
f,<ds>okay</ds>,q4ec2
g,<ds>right</ds>,q4ec2
g,now,q4ec2
g,you want to go from there <ds>eh</ds> to your <ds>eh</ds> left just underneath the giraffes,q4ec2
g,now is there any obstacle there,q4ec2
f,there's the disused warehouse,q4ec2
f,you got that,q4ec2
g,disthouse u-- no i don't have that,q4ec2
g,it's another obstacle right,q4ec2
g,<ds>ehm</ds> if you can just go round <ds>eh</ds> above the <ds>eh</ds> disused warehouse,q4ec2
g,and then you want to go <ds>eh</ds> under the great lake and to the finish,q4ec2
f,under the great lake,q4ec2
g,<ds>yeah</ds>,q4ec2
f,where's the finish just there,q4ec2
g,<ds>well</ds> the finish is just between rock fall and great lake it's n-- it's not directly between them but it's on the same level as that,q4ec2
f,<ds>okay</ds>,q4ec2
g,so that's it finished then,q4ec2
g,<ds>um</ds> are you at the start,q6ec2
g,<ds>um</ds> move downwards on the map so that the telephone kiosk you're to the left of the telephone kiosk,q6ec2
f,<ds>right</ds>,q6ec2
g,and continue to move downwards until you are para-- level with the stone circle,q6ec2
f,i haven't got a stone circle,q6ec2
g,you don't have a stone circle,q6ec2
f,<ds>no</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
g,do you have a stone circle on the map at all,q6ec2
f,<ds>um</ds> i have a ruined monastery,q6ec2
g,fine,q6ec2
g,<ds>um</ds> do you have any obstacle below the telephone kiosk,q6ec2
f,a broken gate and a meadow,q6ec2
g,a brok--,q6ec2
g,a broken gate,q6ec2
g,directly below the telephone kiosk,q6ec2
f,<ds>oh</ds> not directly below <ds>no</ds>,q6ec2
g,do you have anything directly below the telephone kiosk <ds>no</ds>,q6ec2
g,move downwards,q6ec2
f,<ds>mmhmm</ds>,q6ec2
g,until move completely move downwards until you're almost at the bottom of the paper,q6ec2
f,<ds>right</ds>,q6ec2
f,will i not fall over broken stones,q6ec2
g,<ds>uh-huh</ds>,q6ec2
g,are you downwards until you're almost at the bottom of the paper,q6ec2
f,<ds>yep</ds>,q6ec2
g,then move right along not comple-- for if you want it in inches about four inches,q6ec2
f,have you got a meadow,q6ec2
g,<ds>yeah</ds>,q6ec2
g,but that's farther along,q6ec2
g,not that far along,q6ec2
f,not that far along,q6ec2
f,to about the middle,q6ec2
g,<ds>no</ds> <ds>no</ds> <ds>no</ds> <ds>no</ds> <ds>no</ds>,q6ec2
g,move when you have gone down from the telephone kiosk and you're almost at the bottom of the paper,q6ec2
f,<ds>mmhmm</ds> <ds>mmhmm</ds>,q6ec2
g,move in inches about three inches along the map,q6ec2
f,<ds>right</ds> <ds>okay</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
f,<ds>okay</ds>,q6ec2
g,now move,q6ec2
g,do you have a farmer's gate upwards from where you are at the moment,q6ec2
f,<ds>mm</ds> <ds>yeah</ds>,q6ec2
f,it's broken,q6ec2
g,broken <ds>yeah</ds>,q6ec2
g,but it says farmer's gate or does it say broken gate,q6ec2
f,<ds>no</ds>,q6ec2
f,it says broken gate <ds>aye</ds>,q6ec2
g,<ds>okay</ds> fine,q6ec2
g,move upwards an-- so that you're to the left of the broken gate,q6ec2
f,i'm too far along here,q6ec2
g,and just level to the gatepost,q6ec2
f,so you want me to the left of the gate,q6ec2
g,to the gate <ds>yeah</ds>,q6ec2
f,i'll have to go back a bit now then,q6ec2
g,<ds>yeah</ds>,q6ec2
g,<ds>well</ds> i wasn't sure about the distance,q6ec2
f,<ds>okay</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
g,now you are at the left of the gatepost,q6ec2
f,<ds>mmhmm</ds>,q6ec2
g,and if you see what i mean standing at the top of it <ds>yeah</ds> <ds>ehm</ds>,q6ec2
f,do you want me to go through the gate,q6ec2
g,<ds>no</ds>,q6ec2
f,<ds>oh</ds> <ds>okay</ds>,q6ec2
g,<ds>ah</ds> if as long as you're <ds>um</ds> next to the gatepost to the left that's fine,q6ec2
f,<ds>mmhmm</ds>,q6ec2
g,<ds>um</ds> now,q6ec2
g,on this map if you were to move upwards slightly and to the right and then once you'd moved to the right 'til about three quarters along the paper,q6ec2
f,<ds>mmhmm</ds>,q6ec2
g,and then move upwards,q6ec2
f,<ds>uh-huh</ds>,q6ec2
g,you would come to a ruined monastery,q6ec2
f,<ds>uh-huh</ds>,q6ec2
g,is that the same,q6ec2
f,<ds>yeah</ds>,q6ec2
f,have you got a youth hostel,q6ec2
g,<ds>no</ds>,q6ec2
f,<ds>oh</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
f,<ds>well</ds>,q6ec2
f,if i go up and right i come to a youth hostel before i come to a ruined monastery,q6ec2
g,<ds>yeah</ds>,q6ec2
g,<ds>well</ds> it doesn't exist on mine so,q6ec2
f,is that okay,q6ec2
f,i can go via the,q6ec2
g,you just have to move round okay,q6ec2
g,you just you just have to move round okay now move,q6ec2
f,<ds>okay</ds>,q6ec2
g,<ds>right</ds>,q6ec2
g,i'll explain what to do before you do it,q6ec2
g,but on your map you'll have to avoid the youth hostel,q6ec2
f,why,q6ec2
g,because i don't have one on mine,q6ec2
f,<ds>well</ds>,q6ec2
f,can i not go through it anyway,q6ec2
f,it's not going to eat me,q6ec2
g,don't you think,q6ec2
f,it might,q6ec2
g,anyway,q6ec2
g,<ds>okay</ds> <ds>eh</ds>,q6ec2
g,i'll just relay mine,q6ec2
g,<ds>okay</ds>,q6ec2
f,am i supposed to go through this gate,q6ec2
g,now you're at,q6ec2
g,you're at the broken gate,q6ec2
f,<ds>yeah</ds>,q6ec2
f,do i,q6ec2
g,don't move thr-- through the broken gate,q6ec2
f,why not,q6ec2
f,do i have to climb the wall,q6ec2
g,p-- 'cause i don't,q6ec2
f,<ds>oh</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
f,<ds>okay</ds>,q6ec2
g,<ds>so</ds>,q6ec2
g,wha-- what does your obstacle look like,q6ec2
f,what obstacle,q6ec2
g,the gate,q6ec2
g,what's it look like,q6ec2
f,<ds>no</ds> gate,q6ec2
f,<ds>well</ds>,q6ec2
f,it's like a wall and then it's like a gate which is broken,q6ec2
g,so it's it's basically two posts with a broken gate,q6ec2
f,if i don't go through the gate i have to,q6ec2
f,<ds>uh-huh</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
g,and you're standing to the left of the left-hand post,q6ec2
f,<ds>mmhmm</ds>,q6ec2
f,by the wall,q6ec2
g,<ds>yep</ds> <ds>well</ds>,q6ec2
g,move up until you're slightly clear of the gatepost if you see what i mean,q6ec2
f,<ds>right</ds>,q6ec2
f,shall i jump over the wall,q6ec2
g,<ds>no</ds>,q6ec2
g,i didn't realise that there was a wall,q6ec2
g,mine doesn't have a wall,q6ec2
f,<ds>oh</ds> mine does,q6ec2
g,<ds>okay</ds>,q6ec2
g,<ds>well</ds> just,q6ec2
g,basically jump over the wall <ds>yeah</ds>,q6ec2
f,<ds>okay</ds> jumped,q6ec2
g,<ds>okay</ds>,q6ec2
g,now move right,q6ec2
f,<ds>right</ds> <ds>okay</ds>,q6ec2
g,and move along to about three quarters along the way of the paper,q6ec2
f,three quarters,q6ec2
f,<ds>okay</ds> i'll go that side okay,q6ec2
g,now,q6ec2
g,on my map if you were to move straight up until slightly higher than halfway up the paper,q6ec2
f,<ds>mmhmm</ds>,q6ec2
f,here's a ruined monastery,q6ec2
g,there's a ruined monastery,q6ec2
f,<ds>okey-dokey</ds>,q6ec2
g,now,q6ec2
g,move around the ruined monastery to the left,q6ec2
f,to the left <ds>mmhmm</ds>,q6ec2
g,and then move,q6ec2
g,do you have any obstacles between the monastery and the lake,q6ec2
f,<ds>um</ds> not directly <ds>no</ds>,q6ec2
g,the lake is slightly lo-- the lake is lower down the lake is lower down than the monastery is,q6ec2
f,is it,q6ec2
g,it is on this one <ds>yeah</ds>,q6ec2
f,<ds>oh</ds> <ds>well</ds> my lake's in the top right-hand corner,q6ec2
g,<ds>oh</ds> <ds>i see</ds>,q6ec2
g,i have a west lake which is on the east actually but never mind,q6ec2
f,<ds>oh</ds> i have an east lake,q6ec2
g,<ds>yeah</ds> <ds>okay</ds>,q6ec2
g,do you have a stile,q6ec2
f,<ds>yes</ds>,q6ec2
g,you do have a stile,q6ec2
f,i have a stile,q6ec2
g,now is the s--,q6ec2
f,it's above the monastery,q6ec2
g,it's,q6ec2
f,above the monastery,q6ec2
g,it's above and to the left of the monastery,q6ec2
f,<ds>yeah</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
g,now move over the top of the monastery if you see what i mean in relation to the paper,q6ec2
f,<ds>oh</ds> i've just moved underneath,q6ec2
g,<ds>no</ds> <ds>no</ds> <ds>well</ds>,q6ec2
g,go back and move over the top,q6ec2
f,<ds>okay</ds> <ds>right</ds> <ds>okey-dokey</ds>,q6ec2
g,and then move left and upwards 'til you come to the stile,q6ec2
g,i'm not sure how that's going to aff-- affect your lake,q6ec2
f,what on a diagonal,q6ec2
g,<ds>well</ds>,q6ec2
g,you could move aro-- you could move around and down in a sort of circular if you like you don't have to move diagonally,q6ec2
f,<ds>well</ds>,q6ec2
f,it's the easiest way,q6ec2
g,<ds>yeah</ds> i suppose,q6ec2
f,shorter,q6ec2
g,i suppose,q6ec2
g,don't tire yourself out <ds>erm</ds>,q6ec2
g,now move,q6ec2
g,directly upwards until you're clear of the stile much the same way as you did with the gate,q6ec2
f,<ds>mmhmm</ds>,q6ec2
f,jumping over the fence,q6ec2
g,<ds>yeah</ds>,q6ec2
g,and then move,q6ec2
g,do you have any obstacles between the stile and the dead tree,q6ec2
g,do you have a dead tree,q6ec2
f,i have <ds>no</ds>,q6ec2
g,<ds>no</ds> <ds>r--</ds>,q6ec2
f,i have a dut--,q6ec2
g,in relation to the,q6ec2
f,dutch elm if that's any good,q6ec2
g,so where are you at the moment,q6ec2
f,i'm above the stile,q6ec2
g,above the stile that's fine,q6ec2
g,now,q6ec2
g,if level with the stile on the extreme right-hand side there's a dead tree,q6ec2
f,<ds>mmhmm</ds>,q6ec2
f,<ds>well</ds>,q6ec2
f,i've got a dutch elm,q6ec2
g,<ds>well</ds>,q6ec2
g,that's dead isn't it,q6ec2
f,not necessarily,q6ec2
g,why,q6ec2
f,it might not have had dutch elm disease,q6ec2
g,it wouldn't be a dutch elm then,q6ec2
g,fine okay you've got a tree,q6ec2
f,<ds>okay</ds>,q6ec2
f,<ds>yes</ds>,q6ec2
f,i've got a tree,q6ec2
g,now,q6ec2
g,i'll just have to relay the route on the map,q6ec2
g,<ds>okay</ds>,q6ec2
f,<ds>okay</ds>,q6ec2
g,move left from where you are at the moment so that you're above the stile but stop when you get past the stile,q6ec2
f,<ds>yeah</ds>,q6ec2
g,<ds>okay</ds> <ds>ehm</ds>,q6ec2
f,i'm above the stile now,q6ec2
g,you're above the stile,q6ec2
g,now move in a move right so that when you s-- so that you stop just after the stile finishes,q6ec2
g,you're bloody useless,q6ec2
f,i'm on the right of the stile anyway,q6ec2
g,are you,q6ec2
f,<ds>yeah</ds>,q6ec2
g,why aren't you on the left of it,q6ec2
f,<ds>well</ds>,q6ec2
f,i didn't go to the left of it,q6ec2
g,<ds>well</ds>,q6ec2
g,you ought to have gone to the left of it,q6ec2
f,<ds>well</ds>,q6ec2
f,you didn't say,q6ec2
g,<ds>okay</ds>,q6ec2
g,i'm saying now,q6ec2
f,<ds>so</ds>,q6ec2
f,you want me to go to the left and then back to the right again,q6ec2
g,<ds>yeah</ds>,q6ec2
g,go to the left,q6ec2
f,<ds>right</ds> <ds>okay</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
g,then move upwards and to the right,q6ec2
f,<ds>okay</ds>,q6ec2
g,and stop when the stile stops,q6ec2
f,<ds>okay</ds>,q6ec2
g,<ds>okay</ds>,q6ec2
f,i'm in exactly the same place as i was before when you going to t--,q6ec2
g,<ds>yeah</ds> <ds>i know</ds>,q6ec2
g,but but at least you've gone round the stile,q6ec2
f,<ds>okay</ds>,q6ec2
g,and there might be a monster who inhabits the right-hand of the stile you don't know,q6ec2
f,<ds>oh</ds>,q6ec2
f,<ds>well</ds>,q6ec2
f,i've missed it now,q6ec2
g,now right,q6ec2
g,now move straight up until you're about three quarters,q6ec2
f,what about this dead tree,q6ec2
g,<ds>well</ds>,q6ec2
g,we're coming to that in a minute,q6ec2
f,<ds>okay</ds> <ds>right</ds>,q6ec2
g,<ds>so</ds>,q6ec2
g,move three quarters upwards in relation,q6ec2
f,three quarters of what upwards,q6ec2
g,to the entire map,q6ec2
f,<ds>well</ds>,q6ec2
f,i'm about three quarters upwards anyway,q6ec2
g,<ds>well</ds>,q6ec2
f,a bit further upwards,q6ec2
g,don't move very much then,q6ec2
f,have you got a popular tourist spot,q6ec2
g,a poplar,q6ec2
f,popular tourist spot,q6ec2
g,<ds>no</ds>,q6ec2
f,<ds>oh</ds> i have,q6ec2
f,shall i miss it out,q6ec2
g,<ds>well</ds> <ds>well</ds>,q6ec2
g,if the maps may not be the same presumably you're we're going to have to avoid these obstacles,q6ec2
f,<ds>mmhmm</ds>,q6ec2
f,have you got a great viewpoint,q6ec2
g,<ds>yeah</ds>,q6ec2
g,<ds>yeah</ds>,q6ec2
g,i've actually got two great viewpoints,q6ec2
f,<ds>oh</ds> i've only got one that's not fair,q6ec2
f,how far do i walk from where,q6ec2
g,you can have my map if you want two i'm i'm not very keen on great viewpoints,q6ec2
f,<ds>okay</ds>,q6ec2
f,so do i go near the great viewpoint or not very far,q6ec2
g,<ds>um</ds> <ds>ah</ds>,q6ec2
g,so the great viewpoint's in the way,q6ec2
f,<ds>well</ds>,q6ec2
f,it's about sort of four inches up,q6ec2
g,four inches up and slightly to the left,q6ec2
f,<ds>well</ds>,q6ec2
f,very very slightly,q6ec2
f,are we going to go to this tree afterwards,q6ec2
g,<ds>uh-huh</ds>,q6ec2
f,<ds>well</ds>,q6ec2
f,can i not go straight down because otherwise i'll have to go over the,q6ec2
g,where are you at the moment,q6ec2
f,above the stile,q6ec2
g,above the stile,q6ec2
g,on this map there's a a sort of a bump basically in in the route,q6ec2
f,bump like a like a hill,q6ec2
g,<ds>yeah</ds>,q6ec2
g,<ds>no</ds> <ds>no</ds> <ds>no</ds>,q6ec2
g,<ds>well</ds> like a hill except <ds>yeah</ds> i suppose,q6ec2
f,<ds>yeah</ds> <ds>okay</ds> <ds>so</ds>,q6ec2
g,what i mean by that is there's a bump in the route there isn't a bump on the map,q6ec2
f,<ds>okay</ds>,q6ec2
f,i'll go right,q6ec2
f,i've gone i've gone further up,q6ec2
g,<ds>right</ds>,q6ec2
g,now move right and down in a sort of circular sweep until you get to the dead tree,q6ec2
f,<ds>right</ds>,q6ec2
f,to the tree,q6ec2
f,<ds>yay</ds>,q6ec2
g,and then move around <ds>a--</ds> and,q6ec2
f,what side of the tree do you want me to be on,q6ec2
g,<ds>oh</ds> on the right side of the tree i want you to finish up on the right side of the tree,q6ec2
f,<ds>right</ds> <ds>okay</ds>,q6ec2
g,then move up and left and up so that you're to the right of the great viewpoint when you finish,q6ec2
f,<ds>okay</ds>,q6ec2
g,assuming that your great viewpoint's in the same place as mine,q6ec2
f,<ds>oh</ds> i've got to be on the left hang on,q6ec2
g,<ds>ah</ds>,q6ec2
f,what,q6ec2
g,i have two great viewpoints,q6ec2
f,<ds>oh</ds>,q6ec2
g,<ds>okay</ds> tuba <ds>ehm</ds>,q6ec2
g,go back until you're right of the dead tree,q6ec2
f,right i'm by the tree,q6ec2
g,<ds>right</ds>,q6ec2
g,do you have a lake to the top,q6ec2
f,i've an east lake,q6ec2
g,to the top that's fine,q6ec2
g,now,q6ec2
g,below the east lake,q6ec2
f,<ds>uh-huh</ds>,q6ec2
g,there's a great viewpoint as well,q6ec2
f,<ds>well</ds> i've got a rocket laun-- launch pad,q6ec2
g,<ds>well</ds>,q6ec2
g,that probably,q6ec2
f,same thing,q6ec2
g,similar,q6ec2
g,<ds>yeah</ds>,q6ec2
g,fine,q6ec2
g,so if you can move,q6ec2
g,where is the rocket launch pad in relation to the lake,q6ec2
f,<ds>erm</ds> it's beneath the lake on the right side,q6ec2
g,beneath the lake on the right side,q6ec2
f,<ds>mmhmm</ds>,q6ec2
g,<ds>mm</ds>,q6ec2
g,how can it be beneath the lake and on the right,q6ec2
f,<ds>well</ds>,q6ec2
f,it's beneath the lake and a bit on the right edge of the lake rather than on the left edge of the lake,q6ec2
g,<ds>nope</ds>,q6ec2
g,<ds>oh</ds> <ds>i see</ds>,q6ec2
g,<ds>oh</ds>,q6ec2
f,is that not it,q6ec2
g,<ds>well</ds>,q6ec2
g,the great viewpoint that i have is below the lake and if there was a midline through the lake it would be probably s-- s-- very slightly to the left of the midline,q6ec2
f,<ds>oh</ds> <ds>oh</ds> <ds>okay</ds> <ds>well</ds>,q6ec2
f,if i just go up say about by the edge of the lake where it's,q6ec2
g,if you go upwards and stop below the bottom of the lake so that you're about two thirds along the length of the lake,q6ec2
f,<ds>mmhmm</ds>,q6ec2
f,<ds>right</ds>,q6ec2
f,<ds>okay</ds>,q6ec2
